champion_1,champion_2,games,winrate
Ezreal,K'Sante,1,1.0
Ezreal,Lissandra,1,1.0
Ezreal,Lux,1,0.0
Ezreal,Milio,1,0.0
Ezreal,Renata Glasc,1,1.0
Ezreal,Shaco,1,1.0
Ezreal,Thresh,1,0.0
Ezreal,Zilean,1,1.0
Ezreal,Zyra,1,0.0
Fiddlesticks,Mel,1,0.0
Fiddlesticks,Xayah,1,0.0
Fiddlesticks,Zeri,1,1.0
Galio,Kai'Sa,1,0.0
Gragas,Tristana,1,0.0
Gragas,Yasuo,1,0.0
Heimerdinger,Senna,1,1.0
Hwei,Leona,1,0.0
Hwei,Rakan,1,1.0
Janna,Jhin,1,0.0
Janna,Kai'Sa,1,0.0
Janna,Sivir,1,1.0
Janna,Varus,1,1.0
Jhin,Lux,1,0.0
Jhin,Mel,1,0.0
Jhin,Sylas,1,0.0
Jhin,Tahm Kench,1,0.0
Jhin,Thresh,1,0.0
Jhin,Trundle,1,0.0
Jhin,Vel'Koz,1,0.0
Jhin,Zilean,1,0.0
Jinx,Orianna,1,0.0
Jinx,Pantheon,1,1.0
Jinx,Sona,1,1.0
Jinx,Tahm Kench,1,1.0
Jinx,Yuumi,1,0.0
Jinx,Zilean,1,0.0
Kai'Sa,Nami,1,1.0
Kai'Sa,Nidalee,1,1.0
Kai'Sa,Pantheon,1,1.0
Kai'Sa,Renata Glasc,1,1.0
Kai'Sa,Seraphine,1,0.0
Kalista,Lulu,1,0.0
Kalista,Poppy,1,0.0
Kalista,Seraphine,1,0.0
Kalista,Skarner,1,1.0
Kalista,Sylas,1,0.0
Kalista,Taric,1,0.0
Karma,Mel,1,0.0
Karma,Nilah,1,0.0
Karma,Pyke,1,0.0
Karma,Seraphine,1,0.0
Karma,Swain,1,1.0
Karma,Ziggs,1,0.0
Karthus,Rell,1,1.0
Kog'Maw,Milio,1,0.0
Kog'Maw,Neeko,1,0.0
Kog'Maw,Pyke,1,0.0
LeBlanc,Varus,1,1.0
Lee Sin,Ryze,1,1.0
Leona,Samira,1,0.0
Leona,Taliyah,1,1.0
Leona,Viktor,1,1.0
Lissandra,Varus,1,0.0
Lucian,Lulu,1,1.0
Lucian,Shen,1,1.0
Lucian,Soraka,1,1.0
Lulu,Smolder,1,1.0
Lulu,Yasuo,1,0.0
Lux,Sivir,1,1.0
Maokai,Mel,1,1.0
Maokai,Miss Fortune,1,1.0
Maokai,Samira,1,1.0
Maokai,Senna,1,0.0
Maokai,Ziggs,1,0.0
Mel,Poppy,1,0.0
Mel,Senna,1,1.0
Mel,Sivir,1,0.0
Mel,Thresh,1,1.0
Mel,Varus,1,0.0
Mel,Zilean,1,0.0
Milio,Smolder,1,1.0
Milio,Zeri,1,1.0
Miss Fortune,Renata Glasc,1,0.0
Miss Fortune,Sett,1,0.0
Miss Fortune,Thresh,1,0.0
Miss Fortune,Zac,1,0.0
Mordekaiser,Yone,1,0.0
Nami,Senna,1,0.0
Nami,Tristana,1,0.0
Nami,Ziggs,1,1.0
Nautilus,Swain,1,1.0
Nautilus,Twitch,1,1.0
Nautilus,Vel'Koz,1,0.0
Nautilus,Viktor,1,0.0
Nautilus,Vladimir,1,0.0
Neeko,Samira,1,1.0
Neeko,Senna,1,1.0
Neeko,Twitch,1,1.0
Neeko,Ziggs,1,0.0
Nidalee,Tristana,1,0.0
Nidalee,Yunara,1,1.0
Nilah,Renata Glasc,1,1.0
Nilah,Senna,1,0.0
Nocturne,Sylas,1,1.0
Olaf,Rell,1,0.0
Orianna,Tryndamere,1,0.0
Ornn,Senna,1,0.0
Pantheon,Yunara,1,1.0
Poppy,Smolder,1,0.0
Poppy,Taliyah,1,1.0
Poppy,Tristana,1,0.0
Poppy,Yasuo,1,1.0
Pyke,Syndra,1,0.0
Pyke,Xayah,1,1.0
Pyke,Zeri,1,0.0
Rakan,Senna,1,0.0
Rell,Taliyah,1,1.0
Rell,Xerath,1,1.0
Renata Glasc,Sivir,1,0.0
Samira,Sylas,1,1.0
Senna,Soraka,1,1.0
Senna,Zeri,1,1.0
Seraphine,Shen,1,1.0
Seraphine,Tahm Kench,1,0.0
Seraphine,Tristana,1,0.0
Seraphine,Ziggs,1,0.0
Shen,Smolder,1,1.0
Shen,Tristana,1,0.0
Shen,Vel'Koz,1,0.0
Shen,Viktor,1,1.0
Shen,Xayah,1,0.0
Shen,Yunara,1,0.0
Sivir,Skarner,1,0.0
Sivir,Soraka,1,0.0
Sivir,Swain,1,0.0
Sivir,Tahm Kench,1,0.0
Smolder,Zac,1,1.0
Sona,Yunara,1,1.0
Soraka,Xayah,1,0.0
Sylas,Yunara,1,0.0
Tahm Kench,Yunara,1,0.0
Taric,Varus,1,0.0
Taric,Xayah,1,0.0
Taric,Yunara,1,0.0
Thresh,Veigar,1,0.0
Thresh,Yunara,1,0.0
Tristana,Yuumi,1,0.0
Xayah,Zilean,1,0.0
Yunara,Zaahen,1,0.0
