champion_1,champion_2,games,winrate
Camille,Skarner,7,0.7143
Camille,Trundle,7,0.7143
Dr. Mundo,Pyke,7,0.5714
Jax,Seraphine,7,0.5714
Kha'Zix,Nautilus,7,0.4286
Lee Sin,Shen,7,0.2857
Leona,Skarner,7,0.4286
Lulu,Malphite,7,0.4286
Malphite,Rell,7,0.4286
Milio,Zaahen,7,0.2857
Naafiri,Poppy,7,0.4286
Naafiri,Pyke,7,0.2857
Naafiri,Renata Glasc,7,0.4286
Neeko,Rek'Sai,7,0.7143
Pantheon,Soraka,7,0.5714
Pyke,Skarner,7,0.5714
Qiyana,Rakan,7,0.5714
